編號,AREA,112迄今各里人口數按年齡分_cleaned_65_up,Area-2
"66",514638.50079,"1709",263.2724248646
"9",266493.97505,"1480",87278.986493889
"9",211738.84996,"2072",50319.7051298281
"9",109090.99859,"1160",931.115449379
"9",146588.72113,"1378",117713.801843562
"9",196020.87452,"1053",124029.10822558
"9",392402.91033,"1683",63833.359942833
"15",209937.19483,"1195",106682.020801017
"15",132466.91664,"1004",4101.4630515072
"15",155243.22654,"664",6288.400972934
"15",127971.97164,"805",53692.4783047996
"15",145425.76875,"897",60848.4113866648
"15",140008.50726,"875",83673.9706872702
"15",314028.07755,"773",28720.0428727205
"15",629831.77442,"627",376728.651777474
"15",459964.33911,"840",65593.9758536965
"15",288101.64421,"1519",64907.1878608763
"15",746310.66894,"849",3104.9206255376
"31",169403.1582,"1275",87843.5946546569
"31",193284.4122,"1203",81660.2273842719
"31",248720.4119,"1729",10544.5641008932
"31",155243.22654,"664",73063.6220622613
"31",145425.76875,"897",85334.7605864815
"31",133892.70772,"1126",133910.146981186
"31",247544.95612,"1350",247601.169772898
"31",274595.98364,"1013",94237.2482782453
"31",100655.54594,"782",112224.33694459
"31",459964.33911,"840",345339.472942383
"31",344875.51159,"1866",8426.1254206201
"31",288101.64421,"1519",159407.442644832
"31",746310.66894,"849",874.6733543561
"23",746310.66894,"849",65202.2609462722
"23",122789.21832,"682",103852.362304353
"23",217699.73657,"975",119.3326839125
"23",156615.37474,"1418",113498.820733432
"23",122323.72928,"796",79588.9495193447
"23",144089.53121,"1266",30938.7975660185
"23",139307.88669,"774",139326.117213923
"23",240371.90963,"1918",132487.952186717
"23",176678.35312,"1755",20125.0222532989
"23",160516.37437,"1246",160365.396535966
"23",107470.07265,"1105",107484.149786165
"23",111653.17705,"1369",17092.17301413
"23",90823.26646,"835",89284.5313956859
"23",223009.37127,"1668",215730.474177926
"23",97264.30456,"1033",38906.4971004489
"23",118848.3624,"1592",99212.5150893238
"23",155594.41129,"1152",31513.9865773623
"23",160157.08721,"1415",2450.3692512885
"23",106572.13407,"1047",5286.4544548695
"8",382711.05997,"1743",43499.781813678
"8",140788.8031,"1255",963.0502152145
"8",266493.97505,"1480",93486.6354469204
